,loss,optimizer,activation,epochs,bottleneck,batchsize,train_loss,val_loss,combined_loss,hist_stat,hist_chi2
15,abs_err,adagrad,relu,100,9,500,0.534342467785,0.514477014542,1.04881948233,0.813990744037,1.41049877685e-310
16,abs_err,adagrad,relu,100,7,10,0.508997046096,0.493137776852,1.00213482295,0.813990744037,1.41049877685e-310
17,sq_err,adam,hard_sigmoid,100,6,500,0.380014109612,0.360891908407,0.740906018019,0.813990744037,1.41049877685e-310
18,sq_log_err,adam,sigmoid,100,7,10,0.00123698344188,0.00209173001349,0.00332871345537,0.813990744037,1.41049877685e-310
19,abs_err,adam,sigmoid,100,3,50,0.541257585798,0.52199858427,1.06325617007,0.813990744037,1.41049877685e-310
21,abs_err,adagrad,sigmoid,100,6,500,0.536897611618,0.516059458256,1.05295706987,0.813990744037,1.41049877685e-310
25,abs_pct_err,adagrad,sigmoid,100,5,500,96.9609771729,97.0228652954,193.983842468,0.813990744037,1.41049877685e-310
47,sq_log_err,adagrad,hard_sigmoid,100,9,50,0.00130828867467,0.00204834179021,0.00335663046488,0.813990744037,1.41049877685e-310
49,abs_pct_err,adam,relu,100,13,50,88.4533578328,90.9163970947,179.369754927,0.813990744037,1.41049877685e-310
98,abs_pct_err,sgd,hard_sigmoid,100,6,1000,99.9856147766,99.9956054688,199.981220245,0.813990744037,1.41049877685e-310
71,sq_err,adagrad,relu,100,4,100,0.380724605705,0.360213935375,0.74093854108,0.813990744037,1.41049877685e-310
51,abs_pct_err,sgd,sigmoid,100,7,500,96.9774688721,97.0003585815,193.977827454,0.813990744037,1.41049877685e-310
76,sq_err,sgd,hard_sigmoid,100,5,10,0.392906338083,0.373244702816,0.766151040899,0.813990744037,1.41049877685e-310
77,abs_pct_err,adam,relu,100,13,1000,94.4408378601,95.7295608521,190.170398712,0.813990744037,1.41049877685e-310
79,abs_err,adam,hard_sigmoid,100,3,10,0.54915319149,0.529694974422,1.07884816591,0.813990744037,1.41049877685e-310
81,abs_pct_err,adadelta,hard_sigmoid,100,4,50,94.4535989761,94.9728469849,189.426445961,0.813990744037,1.41049877685e-310
82,abs_pct_err,adam,relu,100,15,1000,96.5371742249,96.7326431274,193.269817352,0.813990744037,1.41049877685e-310
83,sq_err,adadelta,relu,100,8,10,0.36237170526,0.343867838383,0.706239543642,0.813990744037,1.41049877685e-310
85,abs_pct_err,adadelta,hard_sigmoid,100,8,100,92.450359072,93.975227356,186.425586428,0.813990744037,1.41049877685e-310
86,sq_err,adadelta,relu,100,6,100,0.367090397647,0.348446637392,0.715537035039,0.813990744037,1.41049877685e-310
87,abs_pct_err,adagrad,relu,100,13,10,100.0,99.9999542236,199.999954224,0.813990744037,1.41049877685e-310
89,abs_pct_err,sgd,hard_sigmoid,100,14,100,99.9975561414,100.000442505,199.997998646,0.813990744037,1.41049877685e-310
90,abs_pct_err,adagrad,hard_sigmoid,100,10,50,91.6925952094,92.0554885864,183.748083796,0.813990744037,1.41049877685e-310
91,sq_log_err,adam,relu,100,10,1000,0.00194411713164,0.00252321385778,0.00446733098943,0.813990744037,1.41049877685e-310
93,sq_log_err,adagrad,relu,100,14,50,0.00079205401458,0.00167140213307,0.00246345614765,0.813990744037,1.41049877685e-310
95,abs_pct_err,adagrad,sigmoid,100,11,50,92.2497486387,92.9303436279,185.180092267,0.813990744037,1.41049877685e-310
96,sq_log_err,adagrad,sigmoid,100,15,50,0.000900552035351,0.00186796020716,0.00276851224252,0.813990744037,1.41049877685e-310
97,abs_pct_err,sgd,hard_sigmoid,100,6,500,99.9860366821,100.000488281,199.986524963,0.813990744037,1.41049877685e-310
73,sq_log_err,sgd,relu,100,12,50,0.0268231094482,0.02613969706,0.0529628065082,0.821110715557,1.41049877685e-310
0,sq_err,adam,hard_sigmoid,100,5,1000,0.39575406909,0.375508397818,0.771262466908,0.813990744037,1.41049877685e-310
59,sq_log_err,adadelta,hard_sigmoid,100,12,100,0.00279696678211,0.00350607885048,0.00630304563258,0.813990744037,1.41049877685e-310
55,sq_err,adagrad,relu,100,11,10,0.370462677841,0.349650472403,0.720113150243,0.813990744037,1.41049877685e-310
67,sq_err,adagrad,sigmoid,100,10,10,0.370287122897,0.349697798491,0.719984921387,0.813990744037,1.41049877685e-310
52,abs_pct_err,adam,relu,100,4,10,90.8258290972,93.2090759277,184.034905025,0.813990744037,1.41049877685e-310
66,sq_log_err,adagrad,hard_sigmoid,100,14,10,0.00132456551281,0.00200103013776,0.00332559565057,0.813990744037,1.41049877685e-310
53,abs_pct_err,sgd,relu,100,6,1000,100.0,100.0,200.0,0.813990744037,1.41049877685e-310
64,abs_err,adagrad,sigmoid,100,13,100,0.513097628951,0.496390640736,1.00948826969,0.813990744037,1.41049877685e-310
54,sq_log_err,adadelta,sigmoid,100,12,10,0.00105274626694,0.0018714935286,0.00292423979554,0.814012993948,1.41049877685e-310
62,abs_pct_err,adagrad,relu,100,13,1000,95.7663764954,96.2958984375,192.062274933,0.813990744037,1.41049877685e-310
70,sq_err,adadelta,hard_sigmoid,100,15,50,0.378736958972,0.359250724316,0.737987683288,0.813990744037,1.41049877685e-310
61,abs_err,sgd,relu,100,10,10,0.534132040186,0.515001118183,1.04913315837,0.813990744037,1.41049877685e-310
60,sq_err,adagrad,sigmoid,100,9,1000,0.379318848252,0.359317690134,0.738636538386,0.813990744037,1.41049877685e-310
8,abs_err,adadelta,sigmoid,100,12,1000,0.557419329882,0.538098037243,1.09551736712,0.814012993948,1.40491758221e-310
13,abs_pct_err,adagrad,tanh,100,3,50,84.0558456693,101.429611206,185.485456875,0.734091313635,1.38752773529e-310
31,sq_log_err,adadelta,relu,100,15,100,0.00646114083273,0.00666288752109,0.0131240283538,0.814747241011,1.38637518656e-310
84,sq_log_err,sgd,sigmoid,100,11,10,0.0124756719518,0.0127080809325,0.0251837528843,0.831990922036,1.37761542449e-310
74,abs_pct_err,sgd,tanh,100,3,50,569.447422573,227.686248779,797.133671352,0.755829476682,1.37761542449e-310
3,abs_pct_err,adam,sigmoid,100,10,1000,99.6910018921,99.8012084961,199.492210388,0.814079743681,5.70069426565e-312
5,abs_err,sgd,hard_sigmoid,100,6,100,0.585500193494,0.565983176231,1.15148336973,0.814613741545,3.28833523603e-312
40,sq_log_err,sgd,relu,100,8,50,0.0172149995675,0.0175490863621,0.0347640859296,0.833948914204,1.9781457541e-315
33,sq_log_err,sgd,tanh,100,10,100,0.0181018342929,0.0182793438435,0.0363811781364,0.806470274119,1.9781457541e-315
23,sq_log_err,sgd,tanh,100,7,100,0.0215592243975,0.0217806976289,0.0433399220263,0.822312210751,3.51139737027e-316
57,sq_log_err,sgd,hard_sigmoid,100,15,100,0.0211875675512,0.0213650651276,0.0425526326788,0.830989676041,9.86500875051e-320
72,sq_log_err,sgd,hard_sigmoid,100,3,100,0.11502858544,0.11440423131,0.22943281675,0.910644357423,1.19563886294e-321
75,sq_log_err,sgd,sigmoid,100,4,100,0.0655842950302,0.0654238164425,0.131008111473,0.889951940192,5.43472210425e-323
32,abs_pct_err,sgd,tanh,100,11,1000,524.974098206,1054.75170898,1579.72580719,0.998798504806,0.0
